data_arc,full_name,
25227,  1566 Icarus (1949 MA),1566
24191,  1620 Geographos (1951 RA),1620
31567,  1862 Apollo (1932 HA),1862
16590,  1981 Midas (1973 EA),1981
30009,  2101 Adonis (1936 CA),2101
15156,  2102 Tantalus (1975 YA),2102
15028,  2135 Aristaeus (1977 HA),2135
31467,  2201 Oljato (1947 XC),2201
13878,  2340 Hathor (1976 UA),2340
14316,  3122 Florence (1981 ET3),3122
12688,  3200 Phaethon (1983 TB),3200
13173,  3361 Orpheus (1982 HR),3361
7394,  3362 Khufu (1984 QA),3362
12281,  3671 Dionysus (1984 KD),3671
12907,  3757 Anagolay (1982 XB),3757
24954,  4015 Wilson-Harrington (1979 VA),4015
10565,  4034 Vishnu (1986 PA),4034
30779,  4179 Toutatis (1989 AC),4179
21627,  4183 Cuno (1959 LM),4183
29560,  4450 Pan (1987 SY),4450
11278,  4486 Mithra (1987 SB),4486
10638,  4581 Asclepius (1989 FC),4581
13083,  4660 Nereus (1982 DB),4660
9817,  4769 Castalia (1989 PB),4769
16076,  4953 (1990 MU),4953
21109,  5011 Ptah (6743 P-L),5011
9945,  5189 (1990 UQ),5189
15421,  5604 (1992 FE),5604
12152,  5693 (1993 EA),5693
11016,  6037 (1988 EG),6037
12039,  6239 Minos (1989 QF),6239
8968,  6489 Golevka (1991 JX),6489
8895,  6491 (1991 OA),6491
10221,  7335 (1989 JA),7335
9796,  7341 (1991 VK),7341
15331,  7482 (1994 PC1),7482
10728,  7753 (1988 XB),7753
9368,  7822 (1991 CS),7822
9080,  8014 (1990 MF),8014
12851,  8566 (1996 EN),8566
10024,  9856 (1991 EE),9856
23434, 10115 (1992 SK),10115
10528, 11500 Tomaiyowit (1989 UR),11500
9483, 12538 (1998 OH),12538
23063, 12923 Zephyr (1999 GK4),12923
13832, 13651 (1997 BR),13651
7058, 14827 Hypnos (1986 JK),14827
12849, 16960 (1998 QS52),16960
2448, 20425 (1998 VD35),20425
22748, 22753 (1998 WT),22753
9906, 23187 (2000 PN9),23187
6336, 25143 Itokawa (1998 SF36),25143
15861, 26663 (2000 XK47),26663
7093, 27002 (1998 DV9),27002
24823, 29075 (1950 DA),29075
7381, 31669 (1999 JT6),31669
6933, 33342 (1998 WT24),33342
8528, 35107 (1991 VH),35107
9802, 35396 (1997 XF11),35396
7835, 37638 (1993 VB),37638
8744, 37655 Illapa (1994 PM),37655
5438, 38071 (1999 GU3),38071
9115, 39572 (1993 DQ1),39572
7298, 41429 (2000 GE2),41429
7202, 52760 (1998 ML14),52760
11076, 52768 (1998 OR2),52768
10146, 53319 (1999 JM8),53319
5913, 53426 (1999 SL5),53426
1123, 53429 (1999 TF5),53429
8817, 53550 (2000 BF19),53550
23135, 53789 (2000 ED104),53789
23014, 65679 (1989 UQ),65679
9827, 65690 (1991 DG),65690
8582, 65717 (1993 BX3),65717
7686, 65803 Didymos (1996 GT),65803
6234, 65909 (1998 FH12),65909
7385, 66391 (1999 KW4),66391
15411, 67367 (2000 LY27),67367
6240, 67381 (2000 OL8),67381
6346, 68216 (2001 CV26),68216
14066, 68346 (2001 KZ66),68346
6250, 68347 (2001 KB67),68347
5613, 68372 (2001 PM9),68372
8749, 68548 (2001 XR31),68548
23040, 68950 (2002 QF15),68950
29129, 69230 Hermes (1937 UB),69230
9829, 85182 (1991 AQ),85182
8375, 85236 (1993 KH),85236
2039, 85585 Mjolnir (1998 FG2),85585
3656, 85640 (1998 OX4),85640
7224, 85713 (1998 SS49),85713
9192, 85774 (1998 UT18),85774
6787, 85938 (1999 DJ4),85938
10251, 85989 (1999 JD6),85989
6866, 85990 (1999 JV6),85990
6983, 86039 (1999 NC43),86039
8665, 86819 (2000 GK137),86819
14667, 87684 (2000 SY2),87684
14639, 88254 (2001 FM129),88254
5913, 89136 (2001 US16),89136
13142, 89830 (2002 CE),89830
5459, 89958 (2002 LY45),89958
23418, 89959 (2002 NT7),89959
22740, 90075 (2002 VU94),90075
9595, 90403 (2003 YE45),90403
8540, 90416 (2003 YK118),90416
9781, 99248 (2001 KY66),99248
3946, 99942 Apophis (2004 MN4),99942
14241,100085 (1992 UY4),100085
3167,101869 (1999 MM),101869
6821,101955 Bennu (1999 RQ36),101955
8092,103067 (1999 XA143),103067
6604,111253 (2001 XU10),111253
10391,136617 (1994 CC),136617
8845,136618 (1994 CN2),136618
6516,136795 (1997 BQ),136795
7498,136849 (1998 CS1),136849
21222,137108 (1999 AN10),137108
6518,137120 (1999 BJ8),137120
6952,137126 (1999 CF9),137126
6887,137427 (1999 TF211),137427
11358,138095 (2000 DK79),138095
5936,138127 (2000 EE14),138127
6544,138175 (2000 EE104),138175
12726,138404 (2000 HA24),138404
6560,138524 (2000 OJ8),138524
3282,138727 (2000 SU180),138727
6132,138971 (2001 CB21),138971
6596,139211 (2001 GN2),139211
6260,139359 (2001 ME1),139359
4694,139622 (2001 QQ142),139622
6180,140039 (2001 SO73),140039
6185,140158 (2001 SX169),140158
7082,140288 (2001 SN289),140288
5980,141053 (2001 XT1),141053
3746,141432 (2002 CQ11),141432
5152,141495 (2002 EZ11),141495
4404,141525 (2002 FV5),141525
10249,141527 (2002 FG7),141527
11907,141593 (2002 HK12),141593
2954,141614 (2002 JV15),141614
6537,141851 (2002 PM6),141851
13419,143404 (2003 BD44),143404
13542,143487 (2003 CR20),143487
4285,143649 (2003 QQ47),143649
13349,143651 (2003 QO104),143651
12107,143992 (2004 AF),143992
23129,144332 (2004 DV24),144332
5808,144898 (2004 VD17),144898
4058,144900 (2004 VG64),144900
9511,152560 (1991 BN),152560
13022,152561 (1991 RB),152561
7681,152637 (1997 NC1),152637
8571,152664 (1998 FW4),152664
7210,152671 (1998 HL3),152671
10299,152680 (1998 KJ9),152680
7000,152685 (1998 MZ),152685
6254,152754 (1999 GS6),152754
11368,152770 (1999 RR28),152770
5493,152828 (1999 VT25),152828
5741,152978 (2000 GJ147),152978
6225,153002 (2000 JG5),153002
6254,153201 (2000 WO107),153201
7165,153220 (2000 YN29),153220
10445,153311 (2001 MG1),153311
7990,153814 (2001 WN5),153814
12723,153958 (2002 AM31),153958
1269,154019 (2002 CZ9),154019
5256,154269 (2002 SM),154269
4320,154275 (2002 SR41),154275
4304,154276 (2002 SY50),154276
5379,154302 (2002 UQ3),154302
10880,154330 (2002 VX94),154330
7418,154590 (2003 MA3),154590
1700,155338 (2006 MZ1),155338
5933,159504 (2000 WO67),159504
8141,159857 (2004 LJ1),159857
14096,161989 Cacus (1978 CA),161989
9679,162000 (1990 OS),162000
7234,162039 (1996 JG),162039
6587,162082 (1998 HL1),162082
6059,162116 (1998 SA15),162116
7204,162120 (1998 SH36),162120
6068,162162 (1999 DB7),162162
11075,162173 Ryugu (1999 JU3),162173
6765,162183 (1999 NB5),162183
5185,162210 (1999 SM5),162210
9860,162361 (2000 AF6),162361
1944,162416 (2000 EH26),162416
13575,162421 (2000 ET70),162421
5908,162422 (2000 EV70),162422
6550,162474 (2000 LB16),162474
5893,162510 (2000 QW69),162510
6548,162567 (2000 RW37),162567
4999,162687 (2000 UH1),162687
1295,162695 (2000 UL11),162695
6390,162783 (2000 YJ11),162783
5437,162825 (2001 BO61),162825
6582,162882 (2001 FD58),162882
2215,162922 (2001 OY13),162922
6177,162979 (2001 RA12),162979
8986,162998 (2001 SK162),162998
9277,163014 (2001 UA5),163014
4676,163026 (2001 XR30),163026
14475,163051 (2001 YJ4),163051
1108,163067 (2002 AP3),163067
4600,163132 (2002 CU11),163132
5922,163243 (2002 FB3),163243
5402,163249 (2002 GT),163249
5171,163348 (2002 NN4),163348
6113,163364 (2002 OD20),163364
8100,163373 (2002 PZ39),163373
5553,163683 (2002 YP2),163683
4328,163697 (2003 EF54),163697
5463,163818 (2003 RX7),163818
5828,163899 (2003 SD220),163899
12991,164121 (2003 YT1),164121
4823,164202 (2004 EW),164202
6186,164207 (2004 GU9),164207
5000,164211 (2004 JA27),164211
4803,164216 (2004 OT11),164216
6990,168318 (1989 DA),168318
4973,170086 (2002 XR14),170086
5149,170903 (2004 WS2),170903
6619,171576 (1999 VP11),171576
5861,171839 (2001 JM1),171839
1456,172678 (2003 YM137),172678
5959,173561 (2000 YV137),173561
6560,175706 (1996 FG3),175706
7315,175729 (1998 BB10),175729
5763,177049 (2003 EE16),177049
6161,177614 (2004 HK33),177614
2017,179806 (2002 TD66),179806
12413,180186 (2003 QZ30),180186
2392,184266 (2004 VW14),184266
6143,185851 (2000 DP107),185851
5456,186844 (2004 GA1),186844
5166,187040 (2005 JS108),187040
5671,189040 (2000 MU1),189040
5495,189865 (2003 NC),189865
7010,192559 (1998 VO),192559
7034,192563 (1998 WZ6),192563
8007,192642 (1999 RD32),192642
5374,194006 (2001 SG10),194006
5914,194268 (2001 UY4),194268
3355,196068 (2002 TW55),196068
5529,196625 (2003 RM10),196625
5490,197588 (2004 HE12),197588
1127,199003 (2005 WJ56),199003
2554,199145 (2005 YY128),199145
8270,199801 (2007 AE12),199801
7781,200840 (2001 XN254),200840
4080,202683 (2006 US216),202683
7949,205744 (2002 BK25),205744
5521,206378 (2003 RB),206378
5837,206910 (2004 NL8),206910
5435,207398 (2006 AS2),207398
20491,207945 (1991 JW),207945
6983,208023 (1999 AQ10),208023
6701,208115 (2000 CT101),208115
5189,212546 (2006 SV19),212546
5763,214869 (2007 PA8),214869
5491,215588 (2003 HF2),215588
4014,216115 (2006 SU19),216115
935,216258 (2006 WH1),216258
5545,216523 (2001 HY7),216523
6363,216985 (2000 QK130),216985
5490,217430 (2005 SN25),217430
20792,217628 Lugh (1990 HA),217628
5464,220839 (2004 VA),220839
2463,221455 (2006 BC10),221455
6207,221980 (1996 EO),221980
7788,226514 (2003 UX34),226514
9829,226554 (2003 WR21),226554
6267,228368 (2000 WK10),228368
5543,230111 (2001 BE10),230111
5173,230549 (2003 BH),230549
5009,231937 (2001 FO32),231937
5167,232691 (2004 AR1),232691
6529,234145 (2000 EW70),234145
8482,235756 (2004 VC),235756
5243,242216 (2003 RN10),242216
4242,242450 (2004 QY2),242450
4728,242643 (2005 NZ6),242643
4646,242708 (2005 UK1),242708
10029,243566 (1995 SA),243566
5124,244977 (2004 BE68),244977
4652,247360 (2001 XU),247360
4507,250620 (2005 GE59),250620
14195,250680 (2005 QC5),250680
3882,250706 (2005 RR6),250706
10163,251346 (2007 SJ),251346
5748,251722 (1997 US2),251722
5139,252399 (2001 TX44),252399
5358,253841 (2003 YG118),253841
5507,255071 (2005 UH6),255071
6846,260141 (2004 QT24),260141
22984,263976 (2009 KD5),263976
4042,264357 (2000 AZ93),264357
5016,264993 (2003 DX10),264993
5222,265196 (2004 BW58),265196
4764,265482 (2005 EE),265482
5506,267131 (2000 EK26),267131
6233,267221 (2001 AD2),267221
5960,267337 (2001 VK5),267337
4818,267494 (2002 JB9),267494
5528,267720 (2003 CA),267720
5841,267729 (2003 FC5),267729
7554,269690 (1996 RG3),269690
6142,275677 (2000 RS11),275677
5898,276033 (2002 AJ129),276033
3180,277475 (2005 WK4),277475
4547,277570 (2005 YP180),277570
5710,279744 (1998 KM3),279744
5490,279816 (2000 JE5),279816
3374,281375 (2008 JV19),281375
7029,285263 (1998 QE2),285263
6146,286080 (2001 TX1),286080
5139,289315 (2005 AN26),289315
3364,290772 (2005 VC),290772
5462,292220 (2006 SU49),292220
3686,294739 (2008 CM),294739
6994,297274 (1996 SK),297274
6091,297300 (1998 SC15),297300
6272,297418 (2000 SP43),297418
7703,301844 (1990 UA),301844
5507,302169 (2001 TD45),302169
4984,302831 (2003 FH),302831
3881,303450 (2005 BY2),303450
5544,304330 (2006 SX217),304330
8841,306383 (1993 VD),306383
3653,307005 (2001 XP1),307005
4836,308242 (2005 GO21),308242
4019,308635 (2005 YU55),308635
6204,310442 (2000 CH59),310442
15673,310560 (2001 QL142),310560
3896,311044 (2004 BB103),311044
5086,311066 (2004 DC),311066
1901,312070 (2007 TA19),312070
4313,314082 Dryope (2005 CZ36),314082
2402,314212 (2005 NJ1),314212
5518,317255 (2002 DJ5),317255
3298,325395 (2009 CQ5),325395
8382,326290 Akhenaten (1998 HE3),326290
4439,329437 (2002 OA22),329437
4775,329614 (2003 KU2),329614
3122,330233 (2006 KV86),330233
3064,331876 (2004 CL),331876
5802,332446 (2008 AF4),332446
3749,333521 (2005 PO),333521
6626,333578 (2006 KM103),333578
5347,337075 (1998 QC1),337075
4165,337558 (2001 SG262),337558
768,341843 (2008 EV5),341843
1954,342866 (2008 YU32),342866
5326,344076 (1998 HJ3),344076
4758,348306 (2005 AY28),348306
4811,348314 (2005 BC),348314
5662,348400 (2005 JF21),348400
3334,349068 (2006 YT13),349068
10268,349507 (2008 QY),349507
4790,350523 (2000 EA14),350523
4361,350751 (2002 AW),350751
3314,352102 (2007 AG12),352102
5802,354182 (2002 DU3),354182
6402,356991 (1998 QA1),356991
6062,357022 (1999 YG3),357022
6231,357024 (1999 YR14),357024
6121,357028 (2000 EJ26),357028
4863,357439 (2004 BL86),357439
5060,357594 (2004 XL35),357594
4349,357622 (2005 EY95),357622
2061,358471 (2007 NS4),358471
5525,358744 (2008 CR118),358744
2235,359170 (2009 CN5),359170
3574,359369 (2009 YG),359369
8984,360191 (1988 TA),360191
5884,361754 (2007 YV29),361754
7237,363024 (1998 OK1),363024
7239,363027 (1998 ST27),363027
4114,363067 (2000 CO101),363067
4512,363084 (2000 RD53),363084
5835,363116 (2001 GQ2),363116
5402,363305 (2002 NV16),363305
3631,363344 (2002 QC7),363344
22996,363505 (2003 UC20),363505
5128,363599 (2004 FG11),363599
4781,363734 (2004 XN50),363734
12401,363790 (2005 JE46),363790
4167,363831 (2005 PY16),363831
4104,364136 (2006 CJ),364136
2209,365014 (2008 OX2),365014
2079,365071 (2009 AV),365071
1102,365424 (2010 KX7),365424
3307,366746 (2004 LJ),366746
5068,366774 (2004 TB18),366774
2183,367248 (2007 MK13),367248
1038,367789 (2011 AG5),367789
4456,368203 (2001 KO2),368203
5143,368565 (2004 FE5),368565
2700,369057 (2008 DK5),369057
2926,369264 (2009 MS),369264
3576,371660 (2007 CN26),371660
6998,373135 (2011 SD173),373135
4964,374038 (2004 HW),374038
5498,374158 (2004 UL),374158
5732,374851 (2006 VV2),374851
5500,374855 (2006 VQ13),374855
3108,375054 (2007 PF6),375054
4763,375103 (2007 TD71),375103
23210,377097 (2002 WQ4),377097
3186,377732 (2005 XJ8),377732
2988,378160 (2006 WX1),378160
3326,378358 (2007 LD),378358
3315,380636 (2004 XN14),380636
3842,380981 (2006 SU131),380981
2902,381906 (2010 CL19),381906
10277,382395 (1990 SM),382395
7687,382406 (1996 AJ1),382406
4986,382745 (2003 CC),382745
4977,382758 (2003 GY),382758
4757,382825 (2003 XB22),382825
11036,385186 (1994 AW1),385186
5117,385252 (2001 EB18),385252
5382,385343 (2002 LV),385343
4020,385605 (2005 EJ225),385605
1884,386454 (2008 XM),386454
6167,386847 (2010 LR33),386847
7237,387505 (1998 KN3),387505
4173,387668 (2002 SZ),387668
4236,387746 (2003 MH4),387746
3690,388188 (2006 DP14),388188
3499,388945 (2008 TZ3),388945
2234,389694 (2011 QD48),389694
5481,390725 (2003 HB),390725
4375,390929 (2005 GP21),390929
5882,391211 (2006 HZ51),391211
2914,395207 (2010 HQ80),395207
6246,398188 Agni (2010 LE15),398188
5855,399457 (2002 PD43),399457
5751,399774 (2005 NB7),399774
5146,401856 (2000 KW43),401856
5520,401954 (2002 RW25),401954
4415,403775 (2011 HS4),403775
5414,405212 (2003 QC10),405212
4063,405762 (2005 YO180),405762
2981,406213 (2007 AB2),406213
6440,408792 (2000 GF2),408792
3190,409836 (2006 QY110),409836
3330,410627 (2008 RG1),410627
2471,410777 (2009 FD),410777
2062,410778 (2009 FG19),410778
1671,411165 (2010 DF1),411165
6989,412983 (1996 FO3),412983
4764,413260 (2003 TL4),413260
3677,413577 (2005 UL5),413577
3227,413989 (2007 EL88),413989
2534,414286 (2008 OC6),414286
2457,414287 (2008 OB9),414287
2421,414990 (2011 EM51),414990
10513,415029 (2011 UL21),415029
5832,415713 (1998 XX2),415713
8415,415745 (2000 GV147),415745
4243,416195 (2002 TR190),416195
3912,416591 (2004 LC2),416591
4772,416801 (2005 GC120),416801
4015,417211 (2005 XL80),417211
4428,417217 (2005 YS),417217
3164,417419 (2006 KL21),417419
5105,417612 (2006 WQ29),417612
2956,417634 (2006 XG1),417634
6524,417816 (2007 FA),417816
9279,417871 (2007 MB24),417871
3865,417949 (2007 TB23),417949
3511,418094 (2007 WV4),418094
4298,418135 (2008 AG33),418135
3479,418416 (2008 LV16),418416
3322,418849 (2008 WM64),418849
5789,419472 (2010 DW1),419472
1928,419624 (2010 SO16),419624
2769,419880 (2011 AH37),419880
2436,420210 (2011 HF),420210
5531,422686 (2000 AC6),422686
6440,422699 (2000 PD3),422699
7177,422787 (2001 WS1),422787
3794,423321 (2005 ED318),423321
3584,423709 (2006 BQ6),423709
6293,424482 (2008 DG5),424482
5869,425755 (2011 CP4),425755
3089,428209 (2006 VC),428209
2242,429094 (2009 SG2),429094
2708,429584 (2011 EU29),429584
5618,430440 (2000 OH),430440
4769,430544 (2002 GM2),430544
4053,430804 (2005 AD13),430804
7014,433953 (1997 XR2),433953
5608,434096 (2002 GO5),434096
5512,434188 (2003 AD23),434188
4407,434196 (2003 HG2),434196
4035,434326 (2004 JG6),434326
3625,434633 (2005 WB1),434633
3997,434677 (2006 BZ7),434677
4262,434734 (2006 FX),434734
2901,435159 (2007 LQ19),435159
2451,435548 (2008 QT3),435548
1983,436329 (2010 GX62),436329
4956,436671 (2011 SV71),436671
2178,436724 (2011 UW158),436724
2274,436774 (2012 KY3),436774
7413,437841 (1998 HD14),437841
5837,437844 (1999 MN),437844
4930,437905 (2001 XU30),437905
3780,438105 (2005 GO22),438105
2970,438661 (2008 EP6),438661
2012,438908 (2009 XO),438908
2478,438955 (2010 LN14),438955
2105,439313 (2012 VE82),439313
1405,439437 (2013 NK4),439437
5708,439877 (1999 XM141),439877
5447,440212 (2004 OB),440212
3547,441641 (2008 WZ13),441641
2942,441987 (2010 NY65),441987
1915,442037 (2010 PR66),442037
1913,442523 (2011 WU95),442523
1574,443103 (2013 WT67),443103
6379,443806 (1998 FL3),443806
5210,443880 (2001 UZ16),443880
4265,444004 (2004 AS1),444004
4650,444193 (2005 SE71),444193
4050,444584 (2006 UK),444584
2237,445305 (2010 DM56),445305
1023,445974 (2013 BJ18),445974
7080,446791 (1998 SJ70),446791
5251,446862 (2001 VB76),446862
3308,447755 (2007 JX2),447755
3398,448003 (2008 DE),448003
1725,448721 (2011 BN24),448721
6263,450142 (1998 XN2),450142
4456,450263 (2003 WD158),450263
5333,450270 (2004 AE),450270
4210,450293 (2004 LV3),450293
4832,450300 (2004 QD14),450300
23171,450894 (2008 BT18),450894
3301,451003 (2008 UD1),451003
2394,451124 (2009 KC3),451124
2474,451157 (2009 SQ104),451157
1858,451297 (2010 TK54),451297
1769,451370 (2011 AK5),451370
7307,452302 (1995 YR1),452302
5195,452376 (2002 AC5),452376
3745,452807 (2006 KV89),452807
2236,453563 (2010 BB),453563
1803,453707 (2010 XY72),453707
3123,453729 (2011 BO24),453729
1682,453778 (2011 JK),453778
1458,454094 (2013 BZ45),454094
1906,454100 (2013 BO73),454100
4645,454101 (2013 BP73),454101
8046,455148 (1994 UG),455148
5937,455176 (1999 VF22),455176
5858,455184 (2000 ED14),455184
5345,455299 (2002 EL6),455299
4098,455687 (2005 EK94),455687
2959,456938 (2007 YV56),456938
2584,457662 (2009 DZ),457662
5898,457768 (2009 KN4),457768
2852,458116 (2010 DA),458116
7017,458122 (2010 EW45),458122
1850,458418 (2011 AM12),458418
1925,458436 (2011 AL52),458436
1936,458723 (2011 KQ12),458723
955,459683 (2013 MY5),459683
3721,461852 (2006 GY2),461852
2945,462238 (2008 CN1),462238
3024,462550 (2009 CB3),462550
2108,462959 (2011 DU),462959
1952,463387 (2013 CT82),463387
5219,465617 (2009 EK1),465617
3936,465633 (2009 JR5),465633
2235,465824 (2010 FR),465824
2781,465892 (2010 UT7),465892
1466,466130 (2012 FZ23),466130
5683,466508 (2014 GY48),466508
8196,467309 (1996 AW1),467309
5753,467317 (2000 QW7),467317
5148,467336 (2002 LT38),467336
4765,467351 (2003 KO2),467351
4027,467460 (2006 JF42),467460
1275,468005 (2012 XD112),468005
4379,468468 (2004 KH17),468468
2215,468727 (2010 JE87),468727
5806,468910 (2014 KQ76),468910
5133,469445 (2002 LT24),469445
3886,469896 (2005 WC1),469896
4040,470310 (2007 LB15),470310
3519,471240 (2011 BT15),471240
2104,471241 (2011 BX18),471241
1886,471323 (2011 KW15),471323
1195,471926 (2013 KN6),471926
13913,474158 (1999 FA),474158
6333,474163 (1999 SO5),474163
5872,474231 (2001 HZ7),474231
4023,475534 (2006 TS7),475534
2893,476601 (2008 SE85),476601
2775,477162 (2009 ES),477162
5850,477465 (2009 XZ1),477465
5270,477519 (2010 DJ56),477519
2137,478574 (2012 TS78),478574
8033,480808 (1994 XL1),480808
6590,480820 (1998 VF32),480820
7063,480822 (1998 YM4),480822
5877,480858 (2001 PT9),480858
5498,480883 (2001 YE4),480883
4889,480936 (2003 QH5),480936
4037,481327 (2006 BB27),481327
4356,481394 (2006 SF6),481394
3689,481457 (2006 XD2),481457
3620,481482 (2007 CA19),481482
5644,481532 (2007 LE),481532
3441,481817 (2008 UL90),481817
2162,482250 (2011 LL2),482250
1946,482344 (2011 WL15),482344
1692,482467 (2012 LK9),482467
1500,482488 (2012 SW20),482488
1657,482650 (2013 BK18),482650
1362,482766 (2013 GF69),482766
